Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
bacon-flavor-gold-yak-chews-for-large-dogs-1-lb-to-5lb-bags,Bacon Flavor Gold Yak Chews for Large Dogs (1 lb to 5lb Bags),"<div class=""product-attributes"" data-mce-fragment=""1"">
 <div class=""attribute-container"" data-mce-fragment=""1"">
  <img alt=""EcoKind pet treats are preservative-free"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0266/7197/2430/files/preservative_free_dog_treat_100x100.png"" src=""https://cdn.shopify.com/s/files/1/0266/7197/2430/files/preservative_free_dog_treat_100x100.png"">
  <h3 data-mce-fragment=""1"">
   No Preservatives
  </h3>
 </div>
 <div class=""attribute-container"" data-mce-fragment=""1"">
  <img alt=""EcoKind Gold Yak Chews are 100% lactose free"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0266/7197/2430/files/lactose_free_02032474-cfa8-4809-8c91-e4b71213b794_100x100.png?"" src=""https://cdn.shopify.com/s/files/1/0266/7197/2430/files/lactose_free_02032474-cfa8-4809-8c91-e4b71213b794_100x100.png?"">
  <h3 data-mce-fragment=""1"">
   No Lactose
  </h3>
 </div>
 <div class=""attribute-container"" data-mce-fragment=""1"">
  <img alt=""All EcoKind Gold Yak Chews are made in the Himalaya Mountains of Nepal"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0266/7197/2430/files/made_in_the_himalayas_100x100.png?v=1631737696"" src=""https://cdn.shopify.com/s/files/1/0266/7197/2430/files/made_in_the_himalayas_100x100.png?v=1631737696"">
  <h3 data-mce-fragment=""1"">
   Made in Himalayas
  </h3>
 </div>
</div>
<p data-mce-fragment=""1"">
 Your dog will love these big, long-lasting yak chews that are easy to digest and 100% natural. Our tough yak milk sticks are sure to keep your pup occupied for hours - no more coming up with other things to entertain them! And because they're made from all-natural ingredients, you can feel good about giving one of these big boys to your furry friend.
</p>
<ul data-mce-fragment=""1"">
 <li data-mce-fragment=""1"">
  Only 3 ingredients: Milk, salt &amp; lime
 </li>
 <li data-mce-fragment=""1"">
  Made in the Himalayas
 </li>
 <li data-mce-fragment=""1"">
  No chemicals, additives or preservatives
 </li>
 <li data-mce-fragment=""1"">
  Gluten-free and lactose-free
 </li>
 <li data-mce-fragment=""1"">
  Great for aggressive chewers
 </li>
</ul>
<h2 data-mce-fragment=""1"">
 Easily Digestible Yak Dog Chew
</h2>
<p data-mce-fragment=""1"">
 EcoKind Large Gold Yak Chews are huge, 6 - 8"" sticks made from Himalayan Yak Milk that provide hours of chewing fun for dogs of all breeds and sizes. Best of all, they are easily digestible since they are made from 100% natural material and break down in your dog's belly. Plus, we think they are the best alternative to any other similar dog chews and bones - and a GREAT value! The more you purchase, the more you save!
</p>
<h2 data-mce-fragment=""1"">
 No Chemicals, No Preservatives, All Natural
</h2>
<p data-mce-fragment=""1"">
 Tired of processed dog treats? So are we! Our Gold dog chews are made in and imported directly from Nepal and are made from natural Yak milk with no artificial ingredients, chemicals or preservatives. And, since our yak chews are
 <strong data-mce-fragment=""1"">
  free from gluten and lactose
 </strong>
 , they are naturally very gentle on sensitive stomachs.
</p>
<h2 data-mce-fragment=""1"">
 Ancient Himalayan Recipe
</h2>
<p data-mce-fragment=""1"">
 These are ‘A’ grade treats sourced from free-range yaks in the Himalayas mountains of Nepal and prepared using a tried-and-tested recipe that has stood the test of time. These are totally natural and very nutritious dog chews made from yak's milk and cow's milk and free from artificial ingredients. Tje milk is processed to remove lactose and make the chews easily digestible and very gentle for sensitive stomachs.
</p>
<h2 data-mce-fragment=""1"">
 No Odor, No Stains
</h2>
<p data-mce-fragment=""1"">
 This is a highly nutritious product for dogs that can provide many hours of chew time for your dog. Since the sticks have minimal odor, you won't have to worry about the embarrassing, overpowering smell that is common with other dog treats after being gnawed on. And, since they don't have artificial ingredients, residue or coloring and are made out of natural ingredients they are absolutely safe to be used both indoors and out.
</p>
<h2 data-mce-fragment=""1"">
 Long-Lasting for Aggressive Chewers
</h2>
<p data-mce-fragment=""1"">
 Our Gold dog chew treats are 6 inch to 8 inches long and harder than other treats which give them a longer chewing lifespan - perfect for puppies and dogs that love to gnaw. Help get your pups chewing under control with a long-lasting crunchy treat from EcoKind!
</p>
<h2 data-mce-fragment=""1"">
 Microwavable for a Softer Chew
</h2>
<p data-mce-fragment=""1"">
 Does your dog prefer a softer treat or have baby teeth, cracked teeth or broken teeth? Just throw our yak chews in the microwave and voila - a treat that is softer, easier on the teeth and made to order just for your pup!
</p>
<h2 data-mce-fragment=""1"">
 Variety of Sizes, Flavors &amp; Quantities
</h2>
<p data-mce-fragment=""1"">
 EcoKind Gold yak dog chews come in multiple flavors (natural and strawberry), quantities (from 1 individual stick to 5lb bags) and sizes (from 4"" sticks to 6"" sticks), allowing you to stock up on your dog's favorite flavor so you never run out. They also come
 and in
 for even more variety!
</p>
<h2 data-mce-fragment=""1"">
 Safe for all breeds, ages and sizes
</h2>
<p data-mce-fragment=""1"">
 EcoKind Gold Yak Chews are healthy, great-tasting treats that are safe for dogs of all sizes and breeds, even those with sensitive stomachs. Just starting out with yak chews? We recommend starting small and working up to larger pieces as needed. If your puppy has trouble biting through large chunks or you are worried about their teeth, try breaking off smaller pieces first. You may want to start by giving him/her one piece at a time until he/she gets comfortable with it or trying our
 !
</p>
",DC-EcoKind Pet Treats,,"","",true,Option,16 small sticks,,,,,,,,DC-1997747,0.0,dropcommercev2,deny,dropcommercev2,77.21,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/71qk6DeBeUL._AC_SL1500.jpg?v=1763434257,1,"",false,,,,kg,,54.04,active
bacon-flavor-gold-yak-chews-for-large-dogs-1-lb-to-5lb-bags,,,,,,,,,8 small sticks,,,,,,,,DC-1997746,0.0,dropcommercev2,deny,dropcommercev2,46.30,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/61J2z8Ps0xL._AC_SL1500.jpg?v=1763434258,2,"",,,,,kg,,32.41,
bacon-flavor-gold-yak-chews-for-large-dogs-1-lb-to-5lb-bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/61TZY0tIfcL._AC_SL1080_712f8df5-2173-4a75-8c06-2e2aac2bec4c.jpg?v=1763434257,3,"",,,,,,,,
bacon-flavor-gold-yak-chews-for-large-dogs-1-lb-to-5lb-bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/71EIFVvbZyL._AC_SL1500.jpg?v=1763434257,4,"",,,,,,,,
bacon-flavor-gold-yak-chews-for-large-dogs-1-lb-to-5lb-bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/71iBWU85xdL._AC_SL1500.jpg?v=1763434257,5,"",,,,,,,,
bacon-flavor-gold-yak-chews-for-large-dogs-1-lb-to-5lb-bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/71ULeNQv8ZL._AC_SL1500.jpg?v=1763434257,6,"",,,,,,,,
bacon-flavor-gold-yak-chews-for-large-dogs-1-lb-to-5lb-bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/81e5e2uDbEL._AC_SL1500.jpg?v=1763434258,7,"",,,,,,,,
bacon-flavor-gold-yak-chews-for-large-dogs-1-lb-to-5lb-bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/81U6_fOg6L._AC_SL1500.jpg?v=1763434257,8,"",,,,,,,,
brazilian-grass-fed-beef-bully-sticks,Brazilian Grass-Fed Beef Bully Sticks,"<div class=""product-attributes"">
 <div class=""attribute-container"">
  <img alt=""EcoKind pet treats are preservative free"" src=""https://cdn.shopify.com/s/files/1/0266/7197/2430/files/preservative_free_dog_treat_100x100.png"">
  <h3>
   No Preservatives
  </h3>
 </div>
 <div class=""attribute-container"">
  <img alt=""EcoKind Himalayan Yak Chews are 100% lactose free"" src=""https://cdn.shopify.com/s/files/1/0266/7197/2430/files/lactose_free_02032474-cfa8-4809-8c91-e4b71213b794_100x100.png"">
  <h3>
   No Lactose
  </h3>
 </div>
 <div class=""attribute-container"">
  <img alt=""EcoKind Pet Treats and Chews from grass-fed meats in Brazil"" src=""https://cdn.shopify.com/s/files/1/0266/7197/2430/files/made_in_brazil_100x100.png?v=1631737696"">
  <h3>
   Made in Brazil
  </h3>
 </div>
</div>
<!-- split -->
<p>
 Keep your dog happy and healthy with our 100% natural, protein-packed grass-fed bully sticks. They're long-lasting, odorless and made from free-range brazilian beef.
 <span data-mce-fragment=""1"">
  Plus, they're low in fat, contain no chemicals or preservatives, and are tough enough for the most aggressive chewers.
 </span>
</p>
<p style=""font-style: italic;"">
 Bully Sticks are sold by weight. The number of sticks will vary depending on size selected.
</p>
<h2>
 The Best Bully Sticks for Dogs
</h2>
<p>
 Highest Quality, Free-Range, Grass-Fed
</p>
<h2>
 100% Natural &amp; High in Protein
</h2>
<p>
 100% All-Natural, No Preservatives! Each bully stick is packed with protein and other essential vitamins for your pooch's long term health
</p>
<h2>
 Perfect for Maintaining Healthy Teeth
</h2>
<p>
 Each EcoKind bully stick helps scrape long-term away tarter and plaque for clean teeth and gums
</p>
<h2>
 Fully Digestible
</h2>
<p>
 Made of only Natural Beef, these dog chews are 100% digestible and safe for your pup
</p>
<h2>
 Excellent Alternative to Rawhide
</h2>
<p>
 Our Bully Sticks are free of any additives, hormones or unhealthy chemicals.
</p>
<h2>
 Guaranteed Analysis
</h2>
<ul>
 <li>
  Crude Protein (Min.) 73.08%
 </li>
 <li>
  Crude Fat (Min.) 3.63%
 </li>
 <li>
  Crude Fiber (Max.) 0.77%
 </li>
 <li>
  Moisture (Max.) 14.08%
 </li>
</ul>
",DC-EcoKind Pet Treats,,"","Pets, Treats & Feeding",true,Option,"12"" 16 oz.",,,,,,,,DC-262373,0.0,dropcommercev2,deny,dropcommercev2,84.23,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/12_3.jpg?v=1763434255,1,"",false,,,,kg,,58.96,active
brazilian-grass-fed-beef-bully-sticks,,,,,,,,,"6"" 16 oz.",,,,,,,,DC-262372,0.0,dropcommercev2,deny,dropcommercev2,74.40,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/512NvvbLZDL._AC_dae6ec13-8171-43d4-95b7-bcbc351f39c6.jpg?v=1763434255,2,"",,,,,kg,,52.07,
brazilian-grass-fed-beef-bully-sticks,,,,,,,,,"4"" 16 oz.",,,,,,,,DC-262371,0.0,dropcommercev2,deny,dropcommercev2,70.18,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/51WKGQKCXYL._AC_0ff15aa0-917b-4308-ac6d-21a8dbc1729d.jpg?v=1763434255,3,"",,,,,kg,,49.12,
brazilian-grass-fed-beef-bully-sticks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/71v8MczA97L._AC_SL1500_2c2d4808-7c4e-4191-af1b-329d8c69cd96.jpg?v=1763434255,4,"",,,,,,,,
brazilian-grass-fed-beef-bully-sticks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/81dMGjkelhL._AC_SL1500.jpg?v=1763434255,5,"",,,,,,,,
brazilian-grass-fed-beef-bully-sticks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/81HDHuKeXCL._AC_SL1500_038e23f5-d87a-4161-9d24-4cbca650eabf.jpg?v=1763434255,6,"",,,,,,,,
brazilian-grass-fed-beef-bully-sticks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/916Bv9M1UCL._AC_SL1500_367dbe6d-c406-4482-a426-d0e9545c323d.jpg?v=1763434255,7,"",,,,,,,,
brazilian-grass-fed-beef-bully-sticks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/91oLHEnEQkL._AC_SL1500_a1a43c11-d52c-4040-a3bb-b4dd2cec65e7.jpg?v=1763434255,8,"",,,,,,,,
brazilian-grass-fed-beef-bully-sticks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/A1IY9sHn37L._AC_SL1500_a2d2521e-cc62-4f73-9885-b6a5c16f11b6.jpg?v=1763434255,9,"",,,,,,,,
ecokind-gold-yak-dog-chews-grade-a-quality-100-natural-healthy-safe-3-pound-bag,"EcoKind Gold Yak Dog Chews Grade A Quality 100% Natural, Healthy & Safe - 3 POUND BAG","<ul>
 <li>
  ✓PERFECT TO KEEP YOUR DOG BUSY AND ENJOYING - These
  <span>
   EcoKind
  </span>
  Gold Yak Dog Chews made in the Himalayas are a healthy, delicious premium organic chew that keeps your dog busy while enjoying the sticks. They are made out of totally natural material hence they are easily digestible. They are best alternative to any other similar pet chews....And a GREAT value! The more you purchase, the more you save!
 </li>
 <li>
  ✓NATURAL INGREDIENTS –The chew sticks' source is Nepal; they are made in and imported directly from Nepal. The chew sticks are made 100% from Yak milk with no artificial ingredients and chemicals, as well as they do not contain any preservatives. The sticks are absolutely free from gluten and lactose making them very gentle on sensitive stomachs.
 </li>
 <li>
  ✓EXCLUSIVE CHEWS FROM ANCIENT RECIPE - These are ‘A’ grade
  <u>
   <strong>
    Yak Chew™
   </strong>
  </u>
  sourced from the Himalayas that sink into dogs teeth. This is ancient tried and tested recipe from the mountains of Nepal. These are totally natural and very nutritious dog chews made from yak's and cow's milk. Milk is processed to remove Lactose and make the chews easily digestible and very gentle for sensitive stomachs.
 </li>
 <li>
  ✓STICK SIZE THAT KEEPS DOG BUSY – The sticks come in 1 lb, 3 lb or 5 lb bags that contain huge pieces of 6-8 inches in length and 1-2 inches in width which is sufficient to keep the dogs busy for hours enjoying the treat.
 </li>
 <li>
  ✓YOUR PIECE OF MIND – This is highly nutritious product for the dogs that can provide many hours of chew time for your dog. Since the sticks are odorless you are not getting disturbed while the dog is busy chewing the sticks. Since the chews are made out of natural ingredients they are absolutely safe to be used both indoors and out.
 </li>
 <li>
  Shipping dimensions 6 inch x 3 x 2.5 at 1 lb
 </li>
</ul>
",DC-EcoKind Pet Treats,,"","Pets, Treats & Feeding",true,Option,Standard,,,,,,,,,0.0,,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/71RKNzwpsRL._AC_SL1500.jpg?v=1763434270,1,"",false,,,,kg,,,active
ecokind-gold-yak-dog-chews-grade-a-quality-100-natural-healthy-safe-3-pound-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/71MHscwfe0L._AC_SL1500_5f60ee69-8a78-4bb9-ba7d-4792e70899fd.jpg?v=1763434270,2,"",,,,,,,,
ecokind-gold-yak-dog-chews-grade-a-quality-100-natural-healthy-safe-3-pound-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/71MPObRWCOL._AC_SL1500_a45e08ee-235a-4018-a2d6-5dabae4feed0.jpg?v=1763434270,3,"",,,,,,,,
ecokind-gold-yak-dog-chews-grade-a-quality-100-natural-healthy-safe-3-pound-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/71S7qE4ISOL._AC_SL1500_b9d7bcd6-ad5c-40ae-8f4c-5a797005aa9c.jpg?v=1763434270,4,"",,,,,,,,
ecokind-gold-yak-dog-chews-grade-a-quality-100-natural-healthy-safe-3-pound-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/81BgVAJPfdL._AC_SL1500_48b2d203-5f18-4a07-b431-c18f3617c1ca.jpg?v=1763434270,5,"",,,,,,,,
ecokind-gold-yak-dog-chews-grade-a-quality-100-natural-healthy-safe-3-pound-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/81gaKjKstuL._AC_SL1500_6ce5dcd9-0d93-4abb-a24f-fd4a929a8eea.jpg?v=1763434270,6,"",,,,,,,,
ecokind-gold-yak-dog-chews-grade-a-quality-100-natural-healthy-safe-3-pound-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/81nZ7m21YZL._AC_SL1500_84c1a241-0839-4a84-8393-fb5772757f8e.jpg?v=1763434270,7,"",,,,,,,,
ecokind-gold-yak-dog-chews-grade-a-quality-100-natural-healthy-safe-3-pound-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/81oFIbc7BvL._AC_SL1500_f2eaa653-5c11-4a30-b182-ae1555163c8d.jpg?v=1763434270,8,"",,,,,,,,
ecokind-gold-yak-dog-chews-grade-a-quality-100-natural-healthy-safe-3-pound-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/0674/5136/files/ea75b65af81c4e21b19dfcbeb8a5b809.thumbnail.0000000000.jpg?v=1763434270,9,"",,,,,,,,
